Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
14587,9473,0.23,0.229,20009.0,19692.322,0.23,0.229,p0011,2024,0,0.0,0.0
14588,9474,0.236,0.235,18108.0,17755.664,0.236,0.235,p0011,2024,0,0.0,0.0
14589,9475,1.408,1.404,25881.0,25801.331,1.408,1.404,p0011,2024,0,0.0,0.0
14590,9476,1.225,1.222,21765.0,21516.547,1.225,1.222,p0011,2024,0,0.0,0.0
14593,9479,13.221,13.185,27226.0,26769.551,13.221,13.185,p0011,2024,0,0.0,0.0
14597,9483,4.202,4.191,9155.0,9099.399,4.202,4.191,p0011,2024,0,0.0,0.0
14618,9485,11.463,11.433,24673.0,24546.958,11.463,11.433,p0011,2024,0,0.0,0.0
14644,9496,17.504,17.416,6697.0,6608.95,17.504,17.416,p0011,2024,0,0.0,0.0
14645,9497,19.343,19.239,7364.0,6864.002,19.343,19.239,p0011,2024,0,0.0,0.0
14647,9499,53.184,52.903,17822.0,17516.308,53.184,52.903,p0011,2024,0,0.0,0.0
14733,9510,5.709,5.673,2615.338,2599.734,5.709,5.673,p0011,2024,0,0.0,0.0
14743,9512,279.011,276.637,50059.63,49648.134,279.011,276.637,p0011,2024,0,0.0,0.0
14758,9512,28.912,28.745,10486.139,10384.129,28.912,28.745,p0011,2024,0,0.0,0.0
14760,9514,227.512,225.388,39429.0,39029.7,227.512,225.388,p0011,2024,0,0.0,0.0
14763,9517,51.445,50.708,6197.0,5980.483,51.445,50.708,p0011,2024,0,0.0,0.0
14764,9518,111.772,110.099,12181.0,11940.822,111.772,110.099,p0011,2024,0,0.0,0.0
14765,9519,39.566,39.0,4877.0,4716.499,39.566,39.0,p0011,2024,0,0.0,0.0
14766,9520,3.391,3.357,705.0,558.676,3.391,3.357,p0011,2024,0,0.0,0.0
14767,9521,55.592,54.764,6615.0,6226.756,55.592,54.764,p0011,2024,0,0.0,0.0
14769,9523,327.84,323.51,40291.0,39779.699,327.84,323.51,p0011,2024,0,0.0,0.0
14771,9525,177.13,174.518,18890.0,18587.906,177.13,174.518,p0011,2024,0,0.0,0.0
14776,9529,0.401,0.398,11839.0,10966.654,0.401,0.398,p0011,2024,0,0.0,0.0
14777,9530,191.401,186.514,14064.0,13673.84,191.401,186.514,p0011,2024,0,0.0,0.0
14797,9537,399.225,391.726,29720.0,29172.464,399.225,391.726,p0011,2024,0,0.0,0.0
14799,9539,523.072,514.222,45371.0,44643.319,523.072,514.222,p0011,2024,0,0.0,0.0
14804,9543,464.337,455.822,34496.0,33617.882,464.337,455.822,p0011,2024,0,0.0,0.0
14809,9548,569.093,558.334,40501.0,39738.176,569.093,558.334,p0011,2024,0,0.0,0.0
14810,9549,65.856,64.457,4535.0,4401.271,65.856,64.457,p0011,2024,0,0.0,0.0
14904,9559,44.266,39.774,4992.509,4543.704,44.266,39.774,p0011,2024,0,0.0,0.0
14905,9559,32.682,32.226,3235.217,3190.119,32.682,32.226,p0011,2024,0,0.0,0.0
14906,9559,201.481,199.019,23020.212,22525.541,201.481,199.019,p0011,2024,0,0.0,0.0
14954,9562,243.197,239.576,21684.0,21331.091,243.197,239.576,p0011,2024,0,0.0,0.0
14971,9564,243.03,238.329,16263.0,15904.513,243.03,238.329,p0011,2024,0,0.0,0.0
14972,9565,421.812,413.824,28683.0,28031.45,421.812,413.824,p0011,2024,0,0.0,0.0
14973,9566,292.111,285.5,17058.0,16638.665,292.111,285.5,p0011,2024,0,0.0,0.0
14974,9567,363.036,354.935,21150.0,20591.082,363.036,354.935,p0011,2024,0,0.0,0.0
14975,9568,679.452,666.286,46398.0,45544.925,679.452,666.286,p0011,2024,0,0.0,0.0
14976,9569,223.695,218.533,13062.0,12636.98,223.695,218.533,p0011,2024,0,0.0,0.0
14977,9570,490.486,480.317,30573.0,29915.191,490.486,480.317,p0011,2024,0,0.0,0.0
14980,9573,640.314,627.17,41992.0,41155.263,640.314,627.17,p0011,2024,0,0.0,0.0
14981,9574,697.668,683.278,44630.0,43754.842,697.668,683.278,p0011,2024,0,0.0,0.0
14985,9575,240.981,235.065,13047.0,12690.909,240.981,235.065,p0011,2024,0,0.0,0.0
14989,9579,188.705,183.987,10272.0,9824.446,188.705,183.987,p0011,2024,0,0.0,0.0
15007,9585,694.582,679.331,43005.0,42106.252,694.582,679.331,p0011,2024,0,0.0,0.0
15015,9593,612.395,599.441,38740.0,37518.841,612.395,599.441,p0011,2024,0,0.0,0.0
15016,9594,695.259,680.901,45477.0,44559.629,695.259,680.901,p0011,2024,0,0.0,0.0
15023,9602,183.216,178.557,10106.0,9496.023,183.216,178.557,p0011,2024,0,0.0,0.0
15024,9603,740.286,724.684,47088.0,46106.119,740.286,724.684,p0011,2024,0,0.0,0.0
15025,9604,387.072,377.545,21011.0,20288.56,387.072,377.545,p0011,2024,0,0.0,0.0
15031,9605,783.138,767.029,51432.0,50410.441,783.138,767.029,p0011,2024,0,0.0,0.0
15032,9606,790.739,774.408,51855.0,50786.848,790.739,774.408,p0011,2024,0,0.0,0.0
15034,9608,385.444,375.711,20336.0,19614.554,385.444,375.711,p0011,2024,0,0.0,0.0
15050,9609,533.108,520.484,29218.0,28214.873,533.108,520.484,p0011,2024,0,0.0,0.0
15051,9610,762.913,746.798,48893.0,47885.299,762.913,746.798,p0011,2024,0,0.0,0.0
15052,9611,698.997,684.02,43854.0,42772.825,698.997,684.02,p0011,2024,7428464,7436078.0,98.9495849609375
15055,9614,739.288,723.989,48366.0,47386.206,739.288,723.989,p0011,2024,7776990,7784900.0,98.95622253417969
15059,9618,420.089,410.131,22439.0,21916.71,420.089,410.131,p0011,2024,4297060,4301503.0,98.9021987915039
15075,9626,0.009,0.007,12975.536,7761.309,0.009,0.007,p0011,2024,220,220.0,10.059442520141602
15146,9626,0.003,0.002,4523.236,2534.528,0.003,0.002,p0011,2024,75,75.0,9.578543663024902
15181,9639,1.364,1.36,122850.0,114370.663,1.364,1.36,p0011,2024,36294,36327.0,65.93395233154297
15257,9641,0.015,0.015,3484.0,3292.03,0.015,0.015,p0011,2024,404,404.0,45.96131896972656
15259,9643,0.018,0.018,4320.0,4096.449,0.018,0.018,p0011,2024,448,448.0,42.50474166870117
15260,9644,0.227,0.227,44798.0,44639.139,0.227,0.227,p0011,2024,6102,6107.0,49.41291046142578
15267,9651,9.031,9.0,27828.0,25093.572,9.031,9.0,p0011,2024,104822,104918.0,94.05040740966797
15269,9653,502.211,491.74,42777.0,41984.646,502.211,491.74,p0011,2024,5336026,5341360.0,98.29222106933594
