Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
10540,8686,2.907,2.874,1627.609,1609.504,2.907,2.874,p0010,2023,16385,16381.0,-1
10555,8686,66.607,65.779,24873.682,24567.412,66.607,65.779,p0010,2023,369020,369206.0,-1
10572,8690,1.664,1.646,904.042,894.114,1.664,1.646,p0010,2023,7129,7133.0,-1
10600,8690,1.649,1.623,735.903,725.251,1.649,1.623,p0010,2023,8994,9000.0,-1
10601,8691,42.137,41.604,13884.0,13711.879,42.137,41.604,p0010,2023,236479,236605.0,-1
10602,8692,9.383,9.267,3993.0,3949.716,9.383,9.267,p0010,2023,52310,52338.0,-1
10604,8695,179.214,176.539,28815.0,28390.844,179.214,176.539,p0010,2023,991064,991607.0,-1
10605,8696,254.538,250.679,41335.0,40717.634,254.538,250.679,p0010,2023,1405748,1406552.0,-1
10615,8701,203.938,200.666,28158.0,27718.775,203.938,200.666,p0010,2023,1123003,1123656.0,-1
10693,8723,58.526,57.768,18957.0,18712.768,58.526,57.768,p0010,2023,326770,326954.0,-1
10694,8724,86.467,85.08,11833.0,11645.588,86.467,85.08,p0010,2023,485450,485719.0,-1
10695,8725,130.9,128.763,16865.0,16591.815,130.9,128.763,p0010,2023,732139,732597.0,-1
10698,8728,117.916,115.874,14449.0,14218.423,117.916,115.874,p0010,2023,653163,653552.0,-1
10699,8729,307.525,302.407,37540.0,36922.951,307.525,302.407,p0010,2023,1707842,1708826.0,-1
10700,8730,315.979,310.832,40721.0,40066.58,315.979,310.832,p0010,2023,1725841,1726843.0,-1
10701,8731,350.826,343.462,27257.0,26706.886,350.826,343.462,p0010,2023,1902393,1903504.0,-1
10729,8736,331.992,326.664,43594.0,42894.619,331.992,326.664,p0010,2023,1812261,1813202.0,-1
10732,8738,353.829,347.232,32277.0,31676.996,353.829,347.232,p0010,2023,1939950,1941095.0,-1
10733,8739,335.857,329.764,34033.0,33431.047,335.857,329.764,p0010,2023,1842460,1843554.0,-1
10738,8741,325.511,319.09,27715.0,27186.107,325.511,319.09,p0010,2023,1784943,1786025.0,-1
10743,8746,483.268,473.194,36343.0,35608.037,483.268,473.194,p0010,2023,2638368,2640025.0,-1
10747,8750,1.502,1.473,333.0,329.453,1.502,1.473,p0010,2023,8733,8732.0,-1
10775,8754,698.182,682.7,48489.0,47454.158,698.182,682.7,p0010,2023,3774534,3776860.0,-1
10792,8771,661.116,646.225,44364.0,43399.538,661.116,646.225,p0010,2023,3604411,3606661.0,-1
10794,8773,699.964,683.577,44076.0,43074.618,699.964,683.577,p0010,2023,3847133,3849485.0,-1
10796,8775,410.68,400.332,22906.0,22339.007,410.68,400.332,p0010,2023,2256818,2258169.0,-1
10799,8778,0.547,0.546,22002.0,21925.181,0.547,0.546,p0010,2023,3192,3193.0,-1
10829,8782,559.313,545.962,33541.0,32756.886,559.313,545.962,p0010,2023,3041598,3043488.0,-1
10847,8784,314.846,306.728,17825.0,17380.496,314.846,306.728,p0010,2023,1721990,1722929.0,-1
10849,8786,827.109,808.368,55911.0,54700.072,827.109,808.368,p0010,2023,4510556,4513230.0,-1
10857,8794,217.306,211.557,12393.0,12073.23,217.306,211.557,p0010,2023,1201808,1202514.0,-1
10859,8796,163.044,158.827,9703.0,9463.393,163.044,158.827,p0010,2023,901774,902326.0,-1
10881,8804,297.328,289.758,16855.0,16436.492,297.328,289.758,p0010,2023,1626428,1627426.0,-1
10884,8807,94.394,92.009,6129.0,5982.259,94.394,92.009,p0010,2023,525310,525610.0,-1
10888,8811,53.867,52.596,4295.0,4206.949,53.867,52.596,p0010,2023,302871,303042.0,-1
10921,8816,152.458,148.452,10898.0,10625.056,152.458,148.452,p0010,2023,962980,963471.0,-1
10928,8817,753.763,735.857,45993.0,44922.572,753.763,735.857,p0010,2023,4107340,4109784.0,-1
10955,8821,863.184,842.517,52274.0,51051.18,863.184,842.517,p0010,2023,4710076,4713024.0,-1
10956,8822,746.601,728.406,43777.0,42736.649,746.601,728.406,p0010,2023,4076580,4079052.0,-1
11038,8850,59.25,58.215,11954.0,11747.904,59.25,58.215,p0010,2023,343565,343801.0,-1
11041,8853,100.649,98.921,12379.0,12171.902,100.649,98.921,p0010,2023,570115,570412.0,-1
