Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
14587,9473,0.23,0.229,20009.0,19692.322,0.23,0.229,p0011,2024,7693,2679.0,-1
14588,9474,0.236,0.235,18108.0,17755.664,0.236,0.235,p0011,2024,7704,2766.0,-1
14589,9475,1.408,1.404,25881.0,25801.331,1.408,1.404,p0011,2024,39492,16322.0,-1
14590,9476,1.225,1.222,21765.0,21516.547,1.225,1.222,p0011,2024,33935,14059.0,-1
14593,9479,13.221,13.185,27226.0,26769.551,13.221,13.185,p0011,2024,348708,148461.0,-1
14597,9483,4.202,4.191,9155.0,9099.399,4.202,4.191,p0011,2024,108483,46314.0,-1
14618,9485,11.463,11.433,24673.0,24546.958,11.463,11.433,p0011,2024,292021,127352.0,-1
14644,9496,17.504,17.416,6697.0,6608.95,17.504,17.416,p0011,2024,450399,193184.0,-1
14645,9497,19.343,19.239,7364.0,6864.002,19.343,19.239,p0011,2024,494378,212274.0,-1
14647,9499,53.184,52.903,17822.0,17516.308,53.184,52.903,p0011,2024,1323920,575514.0,-1
14733,9510,5.709,5.673,2615.338,2599.734,5.709,5.673,p0011,2024,141852,61359.0,-1
14743,9512,279.011,276.637,50059.63,49648.134,279.011,276.637,p0011,2024,7025381,3074903.0,-1
14758,9512,28.912,28.745,10486.139,10384.129,28.912,28.745,p0011,2024,728793,320405.0,-1
14760,9514,227.512,225.388,39429.0,39029.7,227.512,225.388,p0011,2024,5692195,2499892.0,-1
14763,9517,51.445,50.708,6197.0,5980.483,51.445,50.708,p0011,2024,1273996,546335.0,-1
14764,9518,111.772,110.099,12181.0,11940.822,111.772,110.099,p0011,2024,2757134,1193259.0,-1
14765,9519,39.566,39.0,4877.0,4716.499,39.566,39.0,p0011,2024,981249,421371.0,-1
14766,9520,3.391,3.357,705.0,558.676,3.391,3.357,p0011,2024,86038,36432.0,-1
14767,9521,55.592,54.764,6615.0,6226.756,55.592,54.764,p0011,2024,1371194,590778.0,-1
14769,9523,327.84,323.51,40291.0,39779.699,327.84,323.51,p0011,2024,8118150,3550842.0,-1
14771,9525,177.13,174.518,18890.0,18587.906,177.13,174.518,p0011,2024,4346121,1896502.0,-1
14776,9529,0.401,0.398,11839.0,10966.654,0.401,0.398,p0011,2024,11298,4661.0,-1
14777,9530,191.401,186.514,14064.0,13673.84,191.401,186.514,p0011,2024,4722971,2036443.0,-1
14797,9537,399.225,391.726,29720.0,29172.464,399.225,391.726,p0011,2024,9873549,4301830.0,-1
14799,9539,523.072,514.222,45371.0,44643.319,523.072,514.222,p0011,2024,12870771,5588491.0,-1
14804,9543,464.337,455.822,34496.0,33617.882,464.337,455.822,p0011,2024,11299938,4889924.0,-1
